distance_km,elev_norseman_m,elev_hawaii_m
31.0,908.6594964548167,53.399382334354456
31.5,938.9933697568482,68.90797693892013
32.0,973.667917041509,74.38270915408071
32.5,1005.975835888203,74.66005877074227
33.0,1022.6798943797388,78.53319165784615
33.5,1037.161981524388,83.0112737025449
34.0,1063.0898161961231,82.6538677065635
34.5,1078.2927591636574,78.06937621138448
35.0,1094.4280530897631,61.869014080767016
35.5,1115.1495286612183,57.750906123038554
36.0,1134.3277077690614,62.65492107941193
36.5,1146.4295574014445,67.17820113023464
37.0,1169.3789254485532,76.28440635244917
37.5,1181.2948957063518,71.7507331557807
38.0,1203.5578510908438,78.1230975613916
38.5,1227.0279899584616,89.09653441269917
39.0,1234.602992782756,91.76991525152575
39.5,1233.7860625078793,92.42882311136412
40.0,1234.1890456966385,93.08773097120249
40.5,1233.05239314448,93.74663883104085
41.0,1231.034629637394,94.40554669087923
41.5,1246.087462018963,95.0644545507176
42.0,1250.2094311907717,95.72336241055598
42.5,1240.2769035595002,96.38227027039434
43.0,1242.48208918622,97.04117813023271
43.5,1242.35204468047,97.70008599007109
44.0,1240.8877030001652,90.53748018386987
44.5,1239.126084115054,71.14654881706046
45.0,1225.3787736984177,50.56071170509993
45.5,1209.4470253554664,37.23263901499787
46.0,1194.872258058055,27.04357942099856
46.5,1185.9596753587673,18.73018671839722
47.0,1180.337742330683,18.239612408380676
47.5,1186.6627756526286,17.749038098364128
48.0,1200.1622217389179,17.258463788347584
48.5,1201.4801590530442,16.76788947833104
49.0,1180.4701177360212,16.27731516831449
49.5,1171.1806573763201,15.786740858297946
50.0,1167.4058857838886,15.296166548281402
50.5,1151.4228699304742,16.02662461856396
51.0,1134.9393416991225,24.207868435027734
51.5,1147.06681786266,27.579363720616666
52.0,1158.220682401563,23.81604404730867
52.5,1170.542573542944,22.483106503699563
53.0,1180.4136207480788,21.150168960090454
53.5,1193.938392294453,20.813469539160355
54.0,1202.7710844924127,24.176680271888657
54.5,1197.8184759419225,27.53989100461696
55.0,1192.7494380575326,30.90310173734526
55.5,1169.5948082884308,34.26631247007356
56.0,1167.5695114184457,37.62952320280186
56.5,1168.8500695208013,40.99273393553016
57.0,1166.9009479628312,44.355944668258466
57.5,1155.4265751906978,47.719155400986764
58.0,1157.6831884745998,54.35077419354186
58.5,1163.37620092074,65.66581823413888
59.0,1167.0635979015676,61.27905753187461
59.5,1168.3114762889181,42.91178988773276
60.0,1158.6576327798211,44.17304732012261
60.5,1158.7661342516521,45.434304752512475
61.0,1154.9150669982132,46.48875347472524
61.5,1150.8388577823023,48.585709945571885
62.0,1151.0200000000002,54.45000535399337
62.5,1155.8700000000001,51.99747963713551
63.0,1158.8830053356924,43.490412435300364
63.5,1159.5726153823348,36.971116909418086
64.0,1154.9541518478316,42.36290392191199
64.5,1151.2962786579942,47.75469093440591
65.0,1131.2990884883648,53.146477946899815
65.5,1106.2586724953715,58.53826495939372
66.0,1081.3767117747489,63.930051971887636
66.5,1069.3214450573605,69.32183898438154
67.0,1057.8700000000001,74.71362599687545
67.5,1053.6143578077256,77.07943883733142
68.0,1047.1159607896036,72.30847760640277
68.5,1025.4389485243546,74.58226853899947
69.0,1006.8890280998972,54.69296494359029
69.5,994.5633178717106,24.31747447384631
70.0,996.9804557373707,13.168045395477193
70.5,993.3462298542023,5.913968921958075
71.0,990.462726981951,10.014861985446737
71.5,1003.9279310987447,16.27192626118853
72.0,1028.6159949253956,20.219002051950753
72.5,1037.1246048174623,24.449308039539137
73.0,1043.466749885112,28.679614027127524
73.5,1050.4653285182976,32.90992001471591
74.0,1025.25,37.09699157302462
74.5,1004.9183719699602,41.10962414352023
75.0,1003.888812619013,45.12225671401583
75.5,1006.7183870076138,49.134889284511445
76.0,1003.1948305195586,53.14752185500706
76.5,1006.8630766740646,57.16015442550267
77.0,1003.0681485173544,56.073729526165195
77.5,1001.2815192323504,52.707272353449284
78.0,1001.0842156075756,49.34081518073338
78.5,991.0616999354783,48.00817473469172
79.0,988.9260019541141,53.166329959305585
79.5,989.1534915550869,64.92583113797741
80.0,995.4678282796351,70.23760995033194
80.5,1006.5656057336877,68.57576396920244
81.0,1011.3026467125072,70.33742226535198
81.5,1002.9741827951942,72.09908056150151
82.0,994.2010218695887,73.86073885765104
82.5,1000.014318273971,75.62239715380058
83.0,1013.1569106725152,71.96894957205274
83.5,1009.5870696624746,67.7083652790136
84.0,997.1744046442594,63.447780985974475
84.5,975.1266528863132,59.82228396757377
85.0,970.6074469282331,57.62281793381416
85.5,964.2963322214058,55.423351900054556
86.0,947.5125150285779,53.22388586629495
86.5,944.5906964487356,51.024419832535344
87.0,937.4460226212698,48.939294681717556
87.5,932.4038713798718,48.176528710808306
88.0,900.217800071352,47.41376273989906
88.5,876.5447973953034,46.32928914618369
89.0,857.8148889162603,40.558942609666616
89.5,851.8358714469979,51.13205776395719
90.0,829.4657453833137,63.4472480960301
90.5,811.3417410621392,74.68640682192309
91.0,813.1295073347022,85.89755477950901
91.5,804.3355533370942,96.9430470786866
92.0,802.124967061272,107.9885393778642
92.5,794.6736931404474,113.22704177992723
93.0,784.5325509241528,117.0693788103754
93.5,782.7838606957274,126.92992185882422
94.0,768.6114458016727,136.79046490727302
94.5,767.0777553890136,146.65100795572184
95.0,771.809397807904,156.35878021469412
95.5,773.7654267210494,157.22800029038916
96.0,808.24,174.49376774072795
96.5,844.1130963006776,173.6604092651584
97.0,882.0822803683454,182.96038406244415
97.5,923.3375617306372,185.7712498919733
98.0,961.570863348497,186.97254567811194
98.5,994.0321713471371,188.17384146425056
99.0,1004.6924854823624,187.91377122538825
99.5,1008.447272746236,179.27875448794097
100.0,1009.2392643113316,188.7263512918752
100.5,1001.3938020583274,187.7719554053217
101.0,964.55563990957,186.52911033835295
101.5,924.5518015174601,185.2862652713842
102.0,887.3365572242784,182.8719737818162
102.5,863.5916664354748,174.29279102791682
103.0,853.7512351781326,172.84545819928263
103.5,847.8839684449491,155.57489423186638
104.0,846.6368503327615,153.84959550000252
104.5,844.8049010188087,146.43225443249764
105.0,836.4286457137804,136.34793575035252
105.5,831.7021949911469,126.26361706820738
106.0,827.088005190084,116.17929838606226
106.5,822.7683621262084,113.12253026351632
107.0,818.2440052514802,106.8250287727412
107.5,812.33,96.19528696898593
108.0,801.7672084519907,85.56554516523063
108.5,790.6784036506479,74.93580336147535
109.0,785.2220149105844,63.543381614874995
109.5,786.014118849431,50.0616502488349
110.0,822.7494648583685,40.16608430687838
110.5,859.1539086066532,46.48252541386235
111.0,893.8587779756804,47.2990912183703
111.5,927.5724554510156,47.824595115898994
112.0,960.5744338504812,48.35009901342769
112.5,991.514521063559,50.76371441168363
113.0,1025.7843660885646,53.37543336329116
113.5,1054.98461635888,55.98715231489869
114.0,1051.646837059453,58.59887126650621
114.5,1032.5098390124656,61.21059021811374
115.0,1003.9275258936991,63.822309169721265
115.5,972.4028713947719,66.4340281213288
116.0,939.9282428836946,69.04574707293632
116.5,906.7740420085466,70.43188735318445
117.0,874.4422321773088,69.7005456001573
117.5,841.7336390434009,68.96920384713015
118.0,828.0564189184048,68.237862094103
118.5,830.2262738290244,67.50652034107586
119.0,847.7984474837447,68.77695443430142
119.5,882.26,63.44230088345978
120.0,913.1145809918642,51.90609279297582
120.5,944.4215061411285,47.296360740488915
121.0,978.8500000000001,47.98546618499826
121.5,1007.8035864497374,52.12404120693086
122.0,1004.8334913125838,56.26261622886346
122.5,1002.6429864386179,58.30763004889534
123.0,1000.089218427063,53.79215411884012
123.5,1021.2143155494562,49.2766781887849
124.0,1034.4183609898928,44.76120225872968
124.5,1040.8443225932767,40.245726328674465
125.0,1042.991668293891,35.73025039861925
125.5,1034.55,31.619027624298862
126.0,1039.0331957688634,27.62730413950288
126.5,1045.3615756609245,23.635580654706892
127.0,1057.05,19.64385716991091
127.5,1075.047115233093,15.448562654820197
128.0,1091.4029044243503,9.568121139804825
128.5,1090.7980177011125,5.974487360738903
129.0,1057.422209301523,12.992793666979523
129.5,1021.436210725101,23.763176000618444
130.0,982.8419582442535,52.524707000826666
130.5,950.6563219332706,74.23963588120706
131.0,917.5808542895218,72.49333675349216
131.5,883.628759579472,76.53221455415799
132.0,850.3671681615259,73.74376267873235
132.5,813.64,68.50162630229835
133.0,780.9236727156917,63.25948992586434
133.5,748.6179229960316,58.017353549430325
134.0,716.5241875680705,52.775217172996314
134.5,684.245855364667,47.5330807965623
135.0,654.161749012232,42.29094442012829
135.5,640.3749675114983,37.04880804369428
136.0,621.3423599812884,43.69632934001761
136.5,610.987787526445,52.02326586121673
137.0,608.1495380960912,53.86569295117859
137.5,612.2345332790633,46.69512108278217
138.0,612.5872911963908,46.90620555145979
138.5,607.3619055345491,45.37511597794539
139.0,592.8964731121089,43.56468778243666
139.5,622.2799427413781,41.75425958692792
140.0,657.9857897240225,62.22042310324627
140.5,697.4624230796713,63.13992826606664
141.0,736.834296797328,51.78153324708243
141.5,777.0694563206758,47.97972056151275
142.0,814.1149464291584,45.532894663969564
142.5,836.8345055339458,43.08606876642637
143.0,873.2643280568517,40.63924286888319
143.5,904.9086867683463,38.192416971339995
144.0,942.6599388375369,35.74559107379681
144.5,983.9994144537844,33.29876517625362
145.0,1024.750199212572,30.851939278710432
145.5,1065.6767754336684,28.405113381167244
146.0,1065.8295322859967,25.958287483624055
146.5,1078.3174335172607,23.511461586080866
147.0,1080.1668285693918,22.8554884664092
147.5,1072.6956597921594,29.327315059706887
148.0,1078.6332938264654,22.812833521277955
148.5,1086.867429773057,18.04693775123822
149.0,1086.685256544602,15.622520072960091
149.5,1091.678269160307,19.19307378318361
150.0,1098.6176602038076,22.76362749340713
150.5,1113.6206954282727,26.334181203630653
151.0,1122.8067511904367,29.90473491385417
151.5,1134.764051075173,33.47528862407769
152.0,1141.8769909489617,37.04584233430121
152.5,1148.3718982282687,40.616396044524734
153.0,1152.6612023450496,44.18694975474825
153.5,1155.22,40.597510421836795
154.0,1156.8341435915888,54.57227541499515
154.5,1168.2542902754622,72.66468775859524
155.0,1169.8637638875966,90.9766030015351
155.5,1159.9960149106212,96.72860262655874
156.0,1141.8879136370642,96.18758996155914
156.5,1109.540761143613,95.64657729655953
157.0,1086.2882573162385,95.10556463155991
157.5,1050.6204402308,94.5645519665603
158.0,1009.9290886568567,94.0235393015607
158.5,968.7460141451628,93.48252663656109
159.0,932.47,92.94151397156148
159.5,885.0045901790444,92.40050130656186
160.0,837.8641580622963,91.85948864156225
160.5,796.2940597249694,88.71890300703862
161.0,758.1656721986227,77.38894659885032
161.5,740.6549339732195,72.03253657515899
162.0,732.4962291687285,74.63936404126753
162.5,725.7301028793788,65.47553245215666
163.0,720.1786370998068,61.88287465308687
163.5,708.7474491515768,57.15677761322222
164.0,711.1082990019825,62.974310056932865
164.5,706.0954788304149,77.73395995569868
165.0,698.8987036748459,82.02650081052583
165.5,690.2627583228932,82.1234842233448
166.0,685.5941865970892,77.03133997531796
166.5,684.5131034897208,74.9741910702068
167.0,665.0043893990835,73.02286328501542
167.5,643.4719209572376,70.05050461472979
168.0,627.1175197774282,53.10085932292399
168.5,615.8819686303182,46.510878066550994
169.0,598.4752184957936,49.3678787484757
